t,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_17,sensor_20,sensor_21
58,641.90,1590.46,1397.99,554.14,47.26,522.21,8.4319,390,38.93,23.2893
59,642.33,1596.72,1403.51,554.62,47.26,521.32,8.4476,392,38.92,23.4444
60,642.34,1582.75,1403.07,554.00,47.41,522.49,8.3878,393,38.89,23.3870
61,642.10,1583.55,1405.52,554.09,47.31,522.34,8.4264,391,38.89,23.3638
62,642.17,1581.59,1399.54,554.45,47.28,522.19,8.4071,391,39.03,23.2707
63,642.60,1592.14,1395.38,553.48,47.51,521.56,8.4357,394,38.77,23.3436
64,642.23,1584.51,1400.11,553.88,47.45,521.82,8.4066,391,38.93,23.3840
65,642.28,1584.72,1403.24,553.97,47.56,521.54,8.4406,392,38.90,23.3752
66,642.50,1588.50,1399.52,554.00,47.14,521.76,8.3911,391,38.95,23.3152
67,642.33,1590.22,1403.02,554.31,47.39,522.64,8.3925,393,38.97,23.2910
68,642.51,1582.06,1404.42,554.04,47.36,521.72,8.4242,392,38.95,23.3174
69,642.44,1590.70,1401.24,554.65,47.41,522.22,8.4292,392,39.00,23.3742
70,642.22,1584.02,1402.78,554.01,47.41,521.93,8.4279,392,38.86,23.4513
71,642.21,1580.41,1403.09,554.06,47.30,521.72,8.4230,391,38.80,23.3881
72,642.41,1579.25,1406.81,553.76,47.27,521.97,8.3951,391,38.84,23.3085
73,642.29,1592.04,1397.93,553.88,47.29,522.04,8.4040,391,39.03,23.3975
74,642.96,1584.65,1401.48,554.03,47.58,522.25,8.4135,392,38.80,23.3820
75,641.96,1582.32,1394.82,553.60,47.22,521.77,8.4621,392,38.89,23.3521
76,642.21,1589.21,1398.94,553.66,47.44,521.58,8.3996,390,39.02,23.4428
77,642.55,1586.30,1400.97,554.61,47.41,521.60,8.4530,393,38.99,23.2750
78,641.99,1580.76,1404.10,553.47,47.40,522.28,8.3793,392,38.88,23.3486
79,642.12,1582.46,1403.93,553.77,47.35,521.85,8.4132,394,38.90,23.3121
80,641.94,1591.96,1393.58,553.91,47.64,521.52,8.4235,392,38.89,23.3613
81,642.73,1584.82,1402.04,553.88,47.43,521.66,8.4247,392,38.77,23.3730
82,642.04,1589.07,1399.17,554.18,47.25,521.95,8.3986,393,38.89,23.2713
83,642.66,1588.05,1406.38,553.49,47.22,521.93,8.4128,391,38.80,23.3274
84,642.64,1585.52,1406.60,553.91,47.38,521.54,8.4139,392,38.73,23.2653
85,642.28,1590.12,1405.96,554.40,47.36,522.30,8.4499,392,39.01,23.2840
86,641.84,1588.80,1403.56,553.69,47.38,521.82,8.4173,394,38.94,23.3945
87,642.33,1586.69,1413.10,554.10,47.34,521.43,8.4326,391,38.88,23.3402
88,641.96,1581.29,1406.09,554.48,47.46,522.20,8.4586,392,38.90,23.3086
89,642.24,1584.73,1402.22,553.91,47.46,521.55,8.4489,392,38.95,23.3288
90,642.67,1584.38,1412.93,552.88,47.32,521.49,8.3961,391,38.98,23.4712
91,641.98,1584.84,1404.76,553.54,47.32,521.55,8.3949,394,39.11,23.3842
92,642.89,1590.03,1400.77,553.81,47.45,521.91,8.3982,392,38.99,23.3522
93,642.85,1593.74,1408.48,554.07,47.46,521.43,8.4210,392,38.86,23.2477
94,642.45,1583.27,1404.94,553.86,47.48,521.61,8.4524,393,38.85,23.3758
95,642.86,1577.60,1410.10,553.91,47.38,521.92,8.4575,394,38.76,23.3269
96,642.19,1584.07,1395.16,553.34,47.39,521.66,8.4311,392,38.88,23.3255
97,642.07,1595.77,1407.81,553.40,47.46,521.67,8.4105,392,39.01,23.2963
98,642.00,1591.11,1404.56,552.75,47.37,522.31,8.4012,391,38.96,23.2554
99,642.46,1592.73,1406.13,553.76,47.40,521.42,8.4481,393,38.82,23.2323
100,642.22,1589.63,1411.35,554.22,47.64,521.55,8.4241,392,38.93,23.4090
101,642.75,1584.18,1403.41,553.37,47.62,521.89,8.4353,391,38.75,23.4149
102,642.85,1589.11,1403.42,553.42,47.49,521.38,8.4561,393,38.94,23.3653
103,642.21,1581.27,1403.21,553.64,47.57,521.41,8.4263,392,38.69,23.4289
104,642.29,1590.63,1406.25,553.66,47.34,522.38,8.4021,392,38.96,23.3393
105,642.01,1588.28,1403.22,553.11,47.31,521.81,8.4326,393,38.77,23.3857
106,642.68,1589.05,1404.45,553.60,47.44,521.51,8.4664,392,39.08,23.4148
107,642.53,1595.13,1407.73,553.74,47.35,521.75,8.4241,396,39.01,23.4086
108,643.49,1585.91,1399.47,554.43,47.61,521.52,8.4133,393,38.75,23.3032
109,642.49,1586.45,1409.10,553.59,47.58,521.62,8.3757,394,39.05,23.3561
110,642.55,1590.01,1401.27,554.08,47.55,522.01,8.4638,393,39.06,23.2951
111,642.67,1584.38,1408.11,553.49,47.62,521.53,8.4447,392,38.92,23.2135
112,642.66,1586.46,1401.84,553.19,47.22,521.90,8.4445,394,38.84,23.3207
113,642.68,1590.85,1406.59,552.91,47.46,521.75,8.4580,393,38.90,23.3101
114,642.31,1588.42,1402.97,554.29,47.58,521.68,8.4290,394,38.89,23.3754
115,642.66,1594.84,1406.60,554.13,47.43,521.36,8.4345,393,38.93,23.3022
116,642.64,1580.31,1401.99,554.40,47.43,521.60,8.4059,394,39.03,23.3512
117,642.38,1589.77,1409.35,554.59,47.52,521.22,8.4256,391,38.73,23.1766
118,642.34,1585.67,1409.34,554.25,47.55,521.31,8.4197,393,38.88,23.2966
119,642.67,1596.80,1404.46,553.77,47.55,521.46,8.4194,394,39.01,23.3188
120,642.81,1593.78,1407.68,553.66,47.60,521.34,8.4029,393,38.81,23.3061
121,642.63,1593.56,1411.90,553.70,47.44,521.30,8.4263,394,38.63,23.4220
122,643.30,1593.68,1413.97,553.43,47.60,520.92,8.4256,393,38.86,23.2793
123,643.39,1586.66,1403.04,552.64,47.41,521.60,8.4396,392,38.90,23.2920
124,642.48,1587.14,1402.28,552.26,47.55,521.40,8.4416,393,38.80,23.2341
125,642.96,1585.47,1406.42,552.44,47.63,521.57,8.4079,394,38.68,23.3039
126,642.49,1582.64,1418.50,553.72,47.49,521.35,8.4378,392,38.85,23.2289
127,642.99,1586.90,1399.49,553.81,47.63,521.34,8.4626,393,38.91,23.2772
128,642.47,1593.87,1407.06,552.74,47.62,521.96,8.4413,393,38.85,23.2641
129,642.41,1591.33,1408.42,552.42,47.61,522.02,8.4681,393,38.84,23.2656
130,642.70,1585.90,1412.25,552.66,47.46,521.49,8.3938,394,38.71,23.3461
131,643.01,1585.78,1413.25,553.70,47.70,521.45,8.4328,391,38.73,23.3435
132,643.19,1596.06,1405.76,553.16,47.56,521.64,8.4227,393,38.53,23.3186
133,642.45,1592.64,1410.11,553.82,47.57,521.23,8.4604,394,38.95,23.2521
134,642.85,1583.62,1402.67,553.20,47.75,521.52,8.4293,393,38.68,23.2833
135,642.45,1585.55,1406.83,553.09,47.34,520.99,8.4242,392,38.85,23.2744
136,642.84,1584.72,1404.39,554.18,47.43,521.54,8.4469,393,38.76,23.1699
137,642.43,1594.69,1405.15,553.39,47.89,521.63,8.4490,394,38.87,23.2593
138,642.79,1589.82,1413.34,552.91,47.40,521.57,8.4208,392,39.00,23.3664
139,643.11,1592.28,1412.60,553.25,47.67,521.03,8.4621,394,38.88,23.3422
140,643.05,1590.89,1408.36,552.15,47.51,521.27,8.4397,393,38.82,23.3704
141,642.39,1590.02,1415.25,553.45,47.49,521.06,8.4641,394,39.02,23.2382
142,642.51,1595.29,1413.42,553.11,47.59,520.44,8.4291,392,38.71,23.2816
143,642.77,1593.10,1404.21,553.62,47.52,520.98,8.4419,393,38.79,23.2305
144,643.09,1591.89,1405.76,553.77,47.57,521.11,8.4601,393,38.75,23.2249
145,642.95,1594.92,1409.63,553.03,47.54,521.13,8.4644,395,38.67,23.1490
146,642.72,1586.75,1408.82,552.60,47.63,521.13,8.4312,392,38.69,23.3233
147,642.25,1594.85,1409.96,553.09,47.80,520.92,8.4428,393,38.77,23.2684
148,643.02,1590.03,1411.89,552.84,47.49,521.08,8.4276,392,38.77,23.2498
149,642.90,1592.78,1410.70,552.54,47.83,521.13,8.4731,394,38.77,23.2565
150,643.06,1589.01,1409.22,553.57,47.60,520.50,8.4726,394,38.68,23.2082
151,642.82,1592.39,1411.94,552.41,47.58,520.94,8.4612,394,38.56,23.2277
152,642.67,1598.60,1420.83,552.62,47.72,520.39,8.4572,395,38.77,23.2369
153,642.99,1589.17,1414.56,552.68,47.74,520.69,8.4435,393,38.78,23.1719
154,642.81,1597.03,1416.07,552.57,47.73,520.72,8.4794,394,38.82,23.2366
155,642.83,1590.40,1414.89,552.89,47.61,521.23,8.4729,394,38.68,23.2749
156,643.04,1585.61,1421.23,553.24,47.58,520.75,8.4432,395,38.77,23.2791
157,642.20,1598.04,1412.47,552.32,47.72,520.94,8.4328,392,38.67,23.2354
158,642.88,1596.82,1410.09,553.19,47.68,520.88,8.4368,394,38.75,23.2894
159,642.89,1589.54,1420.37,552.18,47.76,520.65,8.4403,394,38.76,23.2530
160,643.45,1590.65,1418.08,551.87,47.84,520.47,8.4433,396,38.52,23.2817
161,643.00,1594.20,1417.31,552.80,47.77,520.47,8.4405,394,38.66,23.2962
162,643.15,1592.22,1423.48,552.68,47.79,520.44,8.5015,394,38.78,23.1538
163,642.85,1600.54,1421.09,552.41,47.89,520.30,8.5129,393,38.65,23.1419
164,643.17,1598.96,1416.76,551.90,47.70,520.63,8.4803,394,38.62,23.1761
165,642.76,1597.03,1408.09,552.79,47.89,520.69,8.4922,393,38.59,23.2129
166,643.34,1596.72,1422.37,552.13,47.86,520.02,8.4663,395,38.62,23.1450
167,643.02,1593.83,1414.72,552.57,47.85,520.49,8.4632,394,38.77,23.3011
168,642.68,1591.19,1415.70,552.09,47.84,520.78,8.4925,393,38.76,23.2770
169,643.20,1590.16,1418.05,552.71,47.88,520.44,8.4767,394,38.58,23.1870
170,642.92,1592.71,1417.41,552.02,47.86,520.23,8.4900,395,38.66,23.1615
171,643.26,1592.06,1414.99,552.71,48.03,519.85,8.4922,395,38.68,23.2444
172,643.33,1591.71,1413.73,551.69,48.07,520.54,8.4595,393,38.65,23.1585
173,642.97,1590.69,1425.27,552.13,47.90,520.11,8.5091,395,38.59,23.1789
174,642.64,1599.81,1422.58,552.32,48.00,520.22,8.4476,393,38.57,23.0357
175,643.61,1603.29,1422.52,551.64,47.86,520.38,8.4890,394,38.58,23.1573
176,642.86,1592.27,1422.73,551.91,47.84,519.80,8.4853,394,38.72,23.2491
177,643.79,1602.02,1423.99,551.93,48.03,520.24,8.4779,396,38.63,23.1673
178,643.38,1605.33,1424.65,552.18,48.00,520.20,8.4770,395,38.65,23.1770
179,642.86,1592.56,1429.45,551.57,48.02,520.38,8.4947,395,38.77,23.1888
180,643.58,1599.87,1417.14,552.91,47.85,519.84,8.4737,395,38.86,23.0070
181,643.44,1596.71,1420.64,551.83,48.10,520.43,8.4720,397,38.34,23.1652
182,644.21,1602.08,1426.62,551.90,47.98,520.46,8.5158,397,38.43,23.1787
183,643.24,1597.23,1419.03,551.38,48.03,520.05,8.5041,396,38.56,23.1302
184,644.07,1605.44,1432.52,551.00,48.07,519.77,8.5133,395,38.43,23.0146
185,643.80,1603.46,1424.40,551.64,48.15,519.82,8.4984,395,38.51,23.0700
186,643.51,1595.16,1426.30,552.57,48.12,520.08,8.5227,397,38.47,23.0564
187,643.32,1592.10,1427.27,551.08,48.23,519.53,8.5218,396,38.42,23.0822
188,643.75,1602.38,1422.78,551.94,48.00,519.79,8.5207,396,38.51,22.9588
189,644.18,1596.17,1428.01,550.70,48.08,519.58,8.5183,395,38.48,23.1127
190,643.64,1599.22,1425.95,551.29,48.33,520.04,8.5223,398,38.49,23.0675
191,643.34,1602.36,1425.77,550.92,48.15,519.57,8.5174,394,38.45,23.1295
192,643.54,1601.41,1427.20,551.25,48.25,520.08,8.5113,396,38.48,22.9649
